,date,value,name
0,1947-01-01,21480.0,IPC
1,1947-02-01,21620.0,IPC
2,1947-03-01,22000.0,IPC
3,1947-04-01,22000.0,IPC
4,1947-05-01,21950.0,IPC
5,1947-06-01,22080.0,IPC
6,1947-07-01,22230.0,IPC
7,1947-08-01,22400.0,IPC
8,1947-09-01,22840.0,IPC
9,1947-10-01,22910.0,IPC
10,1947-11-01,23060.0,IPC
11,1947-12-01,23410.0,IPC
12,1948-01-01,23680.0,IPC
13,1948-02-01,23670.0,IPC
14,1948-03-01,23500.0,IPC
15,1948-04-01,23820.0,IPC
16,1948-05-01,24010.0,IPC
17,1948-06-01,24150.0,IPC
18,1948-07-01,24400.0,IPC
19,1948-08-01,24430.0,IPC
20,1948-09-01,24360.0,IPC
21,1948-10-01,24310.0,IPC
22,1948-11-01,24160.0,IPC
23,1948-12-01,24050.0,IPC
24,1949-01-01,24010.0,IPC
25,1949-02-01,23910.0,IPC
26,1949-03-01,23910.0,IPC
27,1949-04-01,23920.0,IPC
28,1949-05-01,23910.0,IPC
29,1949-06-01,23920.0,IPC
30,1949-07-01,23700.0,IPC
31,1949-08-01,23700.0,IPC
32,1949-09-01,23750.0,IPC
33,1949-10-01,23670.0,IPC
34,1949-11-01,23700.0,IPC
35,1949-12-01,23610.0,IPC
36,1950-01-01,23510.0,IPC
37,1950-02-01,23610.0,IPC
38,1950-03-01,23640.0,IPC
39,1950-04-01,23650.0,IPC
40,1950-05-01,23770.0,IPC
41,1950-06-01,23880.0,IPC
42,1950-07-01,24070.0,IPC
43,1950-08-01,24200.0,IPC
44,1950-09-01,24340.0,IPC
45,1950-10-01,24500.0,IPC
46,1950-11-01,24600.0,IPC
47,1950-12-01,24980.0,IPC
48,1951-01-01,25380.0,IPC
49,1951-02-01,25830.0,IPC
50,1951-03-01,25880.0,IPC
51,1951-04-01,25920.0,IPC
52,1951-05-01,25990.0,IPC
53,1951-06-01,25930.0,IPC
54,1951-07-01,25910.0,IPC
55,1951-08-01,25860.0,IPC
56,1951-09-01,26030.0,IPC
57,1951-10-01,26160.0,IPC
58,1951-11-01,26320.0,IPC
59,1951-12-01,26470.0,IPC
60,1952-01-01,26450.0,IPC
61,1952-02-01,26410.0,IPC
62,1952-03-01,26390.0,IPC
63,1952-04-01,26460.0,IPC
64,1952-05-01,26470.0,IPC
65,1952-06-01,26530.0,IPC
66,1952-07-01,26680.0,IPC
67,1952-08-01,26690.0,IPC
68,1952-09-01,26630.0,IPC
69,1952-10-01,26690.0,IPC
70,1952-11-01,26690.0,IPC
71,1952-12-01,26710.0,IPC
72,1953-01-01,26640.0,IPC
73,1953-02-01,26590.0,IPC
74,1953-03-01,26630.0,IPC
75,1953-04-01,26690.0,IPC
76,1953-05-01,26700.0,IPC
77,1953-06-01,26770.0,IPC
78,1953-07-01,26790.0,IPC
79,1953-08-01,26850.0,IPC
80,1953-09-01,26890.0,IPC
81,1953-10-01,26950.0,IPC
82,1953-11-01,26850.0,IPC
83,1953-12-01,26870.0,IPC
84,1954-01-01,26940.0,IPC
85,1954-02-01,26990.0,IPC
86,1954-03-01,26930.0,IPC
87,1954-04-01,26860.0,IPC
88,1954-05-01,26930.0,IPC
89,1954-06-01,26940.0,IPC
90,1954-07-01,26860.0,IPC
91,1954-08-01,26850.0,IPC
92,1954-09-01,26810.0,IPC
